"biotypes"	"length"	"gc"
"ENSG00000227540"	"lincRNA"	648	42.16
"ENSG00000227541"	"pseudogene"	688	36.63
"ENSG00000146433"	"protein_coding"	5390	43.49
"ENSG00000159322"	"protein_coding"	1462	53.92
"ENSG00000166707"	"lincRNA"	1493	55.28
"ENSG00000166704"	"protein_coding"	1739	54.71
"ENSG00000233295"	"pseudogene"	1395	61.00
"ENSG00000182141"	"protein_coding"	4003	37.37
"ENSG00000244610"	"misc_RNA"	266	54.14
"ENSG00000244612"	"misc_RNA"	276	52.17
"ENSG00000244615"	"pseudogene"	225	49.78
"ENSG00000244617"	"protein_coding"	2172	55.62
"ENSG00000182149"	"protein_coding"	1143	48.32
"ENSG00000122756"	"protein_coding"	1627	61.73
"ENSG00000126070"	"protein_coding"	1461	45.24
"ENSG00000011132"	"protein_coding"	2158	65.57
"ENSG00000196396"	"protein_coding"	2580	52.42
"ENSG00000196395"	"pseudogene"	281	49.48
"ENSG00000158985"	"protein_coding"	1420	40.83
"ENSG00000170054"	"protein_coding"	1321	49.42
"ENSG00000158987"	"protein_coding"	3397	41.69
"ENSG00000196391"	"protein_coding"	1437	51.01
"ENSG00000226067"	"processed_transcript"	585	58.18
"ENSG00000242613"	"pseudogene"	308	61.36
"ENSG00000242612"	"protein_coding"	1176	62.19
"ENSG00000242611"	"lincRNA"	605	54.38
"ENSG00000242610"	"pseudogene"	919	44.40
"ENSG00000242616"	"protein_coding"	1469	44.72
"ENSG00000242615"	"pseudogene"	1020	40.70
"ENSG00000242614"	"misc_RNA"	301	56.15
"ENSG00000164708"	"protein_coding"	857	62.31
"ENSG00000242618"	"lincRNA"	947	47.10
"ENSG00000201674"	"snoRNA"	213	41.78
"ENSG00000163528"	"protein_coding"	1196	48.99
"ENSG00000207935"	"miRNA"	110	48.18
"ENSG00000207934"	"miRNA"	81	53.09
"ENSG00000207937"	"miRNA"	87	39.08
"ENSG00000207936"	"miRNA"	99	45.45
"ENSG00000251518"	"lincRNA"	546	43.41
"ENSG00000207930"	"miRNA"	97	37.11
"ENSG00000207933"	"miRNA"	108	45.37
"ENSG00000207932"	"miRNA"	69	47.83
"ENSG00000254742"	"antisense"	694	41.50
"ENSG00000251515"	"pseudogene"	1162	40.79
"ENSG00000251516"	"pseudogene"	372	52.15
"ENSG00000251517"	"lincRNA"	1128	36.79
"ENSG00000251510"	"processed_transcript"	1483	37.49
"ENSG00000207938"	"miRNA"	87	39.08
"ENSG00000254744"	"antisense"	572	52.62
"ENSG00000251513"	"processed_transcript"	893	37.85
"ENSG00000257219"	"processed_transcript"	813	49.24
"ENSG00000257218"	"protein_coding"	1128	53.98
"ENSG00000196642"	"protein_coding"	2406	61.86
"ENSG00000090512"	"protein_coding"	1196	50.83
"ENSG00000196644"	"protein_coding"	1637	39.37
"ENSG00000258076"	"pseudogene"	513	60.82
"ENSG00000196646"	"protein_coding"	1497	43.83
"ENSG00000196648"	"protein_coding"	3215	48.00
"ENSG00000257210"	"pseudogene"	481	41.37
"ENSG00000115866"	"protein_coding"	855	40.64
"ENSG00000207036"	"misc_RNA"	102	41.18
"ENSG00000239586"	"pseudogene"	898	37.42
"ENSG00000163520"	"protein_coding"	2328	59.72
"ENSG00000159588"	"protein_coding"	1808	60.24
"ENSG00000161281"	"protein_coding"	538	61.30
"ENSG00000247950"	"lincRNA"	936	46.67
"ENSG00000154548"	"protein_coding"	1282	41.54
"ENSG00000239581"	"pseudogene"	814	55.77
"ENSG00000257933"	"pseudogene"	192	51.04
"ENSG00000203942"	"protein_coding"	1241	56.49
"ENSG00000203943"	"protein_coding"	976	38.95
"ENSG00000203945"	"protein_coding"	580	51.03
"ENSG00000239580"	"misc_RNA"	293	52.22
"ENSG00000231355"	"antisense"	666	42.19
"ENSG00000231356"	"pseudogene"	1011	42.63
"ENSG00000231357"	"pseudogene"	402	39.80
"ENSG00000175265"	"protein_coding"	3612	49.61
"ENSG00000231351"	"pseudogene"	505	61.98
"ENSG00000175267"	"protein_coding"	2111	51.69
"ENSG00000231353"	"pseudogene"	260	37.69
"ENSG00000231358"	"lincRNA"	746	41.15
"ENSG00000231359"	"pseudogene"	306	48.69
"ENSG00000217315"	"pseudogene"	909	47.74
"ENSG00000250315"	"pseudogene"	423	33.10
"ENSG00000183798"	"protein_coding"	3796	62.88
"ENSG00000214039"	"lincRNA"	4060	48.27
"ENSG00000183795"	"protein_coding"	1206	43.12
"ENSG00000125037"	"protein_coding"	1301	49.56
"ENSG00000250316"	"pseudogene"	2297	40.97
"ENSG00000183791"	"protein_coding"	1877	64.78
"ENSG00000183793"	"protein_coding"	953	46.86
"ENSG00000198130"	"protein_coding"	972	41.06
"ENSG00000198131"	"protein_coding"	2349	48.35
"ENSG00000249646"	"pseudogene"	364	49.45
"ENSG00000198134"	"pseudogene"	325	53.46
"ENSG00000231688"	"pseudogene"	472	43.86
"ENSG00000231689"	"lincRNA"	720	49.35
"ENSG00000231686"	"pseudogene"	988	63.97
"ENSG00000187556"	"protein_coding"	861	62.58
"ENSG00000231684"	"pseudogene"	336	43.39
"ENSG00000197114"	"protein_coding"	1813	64.41
"ENSG00000171016"	"protein_coding"	5570	36.37
"ENSG00000171017"	"protein_coding"	3600	57.53
"ENSG00000197111"	"protein_coding"	1418	48.34
"ENSG00000124343"	"protein_coding"	1238	47.83
"ENSG00000199849"	"snRNA"	116	36.21
"ENSG00000161860"	"protein_coding"	1217	52.42
"ENSG00000199843"	"rRNA"	117	56.41
"ENSG00000199840"	"misc_RNA"	110	40.00
"ENSG00000199846"	"snRNA"	153	43.14
"ENSG00000199845"	"rRNA"	119	51.26
"ENSG00000207063"	"snoRNA"	95	42.11
"ENSG00000207062"	"snoRNA"	135	36.30
"ENSG00000207061"	"misc_RNA"	102	44.12
"ENSG00000207060"	"snRNA"	107	40.19
"ENSG00000207067"	"snoRNA"	132	40.15
"ENSG00000207066"	"snoRNA"	75	36.00
"ENSG00000207065"	"snRNA"	116	32.76
"ENSG00000255504"	"pseudogene"	487	48.66
"ENSG00000207069"	"misc_RNA"	102	45.10
"ENSG00000207068"	"snRNA"	107	40.19
"ENSG00000243053"	"pseudogene"	379	44.06
"ENSG00000201892"	"misc_RNA"	117	36.75
"ENSG00000243051"	"misc_RNA"	303	50.50
"ENSG00000243056"	"protein_coding"	691	57.02
"ENSG00000201896"	"misc_RNA"	316	48.42
"ENSG00000243055"	"antisense"	651	42.24
"ENSG00000201898"	"snoRNA"	127	35.43
"ENSG00000201899"	"snoRNA"	72	44.44
"ENSG00000243058"	"pseudogene"	156	39.10
"ENSG00000243059"	"misc_RNA"	294	51.02
"ENSG00000239023"	"snRNA"	160	51.25
"ENSG00000247732"	"pseudogene"	203	45.32
"ENSG00000240502"	"misc_RNA"	287	54.70
"ENSG00000240505"	"protein_coding"	1178	57.94
"ENSG00000247735"	"antisense"	1762	48.01
"ENSG00000240509"	"pseudogene"	354	44.63
"ENSG00000166851"	"protein_coding"	1213	57.10
"ENSG00000166856"	"protein_coding"	1694	58.50
"ENSG00000256259"	"lincRNA"	376	37.23
"ENSG00000230083"	"pseudogene"	238	43.28
"ENSG00000230082"	"antisense"	614	54.40
"ENSG00000230081"	"pseudogene"	288	34.72
"ENSG00000253829"	"antisense"	387	44.44
"ENSG00000230087"	"pseudogene"	887	45.66
"ENSG00000230086"	"pseudogene"	858	41.26
"ENSG00000230084"	"antisense"	552	60.74
"ENSG00000253822"	"IG_V_pseudogene"	197	54.31
"ENSG00000253823"	"IG_V_pseudogene"	441	56.46
"ENSG00000253820"	"IG_V_pseudogene"	46	47.83
"ENSG00000207356"	"misc_RNA"	109	44.04
"ENSG00000253826"	"pseudogene"	364	50.55
"ENSG00000253824"	"lincRNA"	568	47.15
"ENSG00000253825"	"lincRNA"	474	38.40
"ENSG00000096395"	"protein_coding"	497	55.72
"ENSG00000134970"	"protein_coding"	1711	47.74
"ENSG00000254423"	"pseudogene"	1181	50.21
"ENSG00000263400"	"antisense"	614	54.74
"ENSG00000199266"	"snoRNA"	134	50.75
"ENSG00000202364"	"snoRNA"	216	50.00
"ENSG00000199263"	"misc_RNA"	112	44.64
"ENSG00000199262"	"snoRNA"	63	34.92
"ENSG00000263406"	"misc_RNA"	254	55.51
"ENSG00000250400"	"lincRNA"	1148	40.07
"ENSG00000176248"	"protein_coding"	1027	63.30
"ENSG00000230559"	"pseudogene"	526	40.68
"ENSG00000230558"	"pseudogene"	744	53.63
"ENSG00000230555"	"lincRNA"	303	54.79
"ENSG00000230554"	"sense_intronic"	423	31.21
"ENSG00000230556"	"pseudogene"	166	60.24
"ENSG00000230551"	"processed_transcript"	5862	35.41
"ENSG00000230550"	"antisense"	1126	52.22
"ENSG00000176244"	"protein_coding"	898	45.35
"ENSG00000230552"	"processed_transcript"	1587	44.80
"ENSG00000201945"	"snoRNA"	132	56.06
"ENSG00000146013"	"protein_coding"	1938	60.54
"ENSG00000217261"	"protein_coding"	1374	61.06
"ENSG00000237688"	"lincRNA"	203	65.02
"ENSG00000237689"	"lincRNA"	500	47.60
"ENSG00000248757"	"lincRNA"	432	44.68
"ENSG00000248750"	"pseudogene"	624	34.94
"ENSG00000248751"	"protein_coding"	1847	61.23
"ENSG00000248752"	"lincRNA"	547	43.69
"ENSG00000248753"	"lincRNA"	532	47.56
"ENSG00000180189"	"pseudogene"	553	42.61
"ENSG00000237682"	"pseudogene"	1766	42.47
"ENSG00000115896"	"protein_coding"	4099	40.42
"ENSG00000248758"	"antisense"	193	37.31
"ENSG00000237685"	"lincRNA"	1475	44.27
"ENSG00000237686"	"lincRNA"	2232	48.97
"ENSG00000237687"	"lincRNA"	332	63.25
"ENSG00000249483"	"lincRNA"	601	54.91
"ENSG00000249482"	"pseudogene"	1593	51.91
"ENSG00000188959"	"protein_coding"	1520	49.96
"ENSG00000188958"	"protein_coding"	920	43.38
"ENSG00000249487"	"lincRNA"	882	50.21
"ENSG00000249486"	"pseudogene"	248	48.79
"ENSG00000249485"	"pseudogene"	1276	44.28
"ENSG00000249484"	"lincRNA"	1188	38.15
"ENSG00000172548"	"protein_coding"	1476	55.82
"ENSG00000249489"	"pseudogene"	1045	51.39
"ENSG00000249488"	"pseudogene"	636	44.03
"ENSG00000083454"	"protein_coding"	1496	57.51
"ENSG00000248288"	"pseudogene"	737	42.06
"ENSG00000083457"	"protein_coding"	1204	49.65
"ENSG00000248286"	"pseudogene"	141	46.81
"ENSG00000218980"	"pseudogene"	280	49.64
"ENSG00000248285"	"processed_transcript"	219	40.18
"ENSG00000248282"	"pseudogene"	823	42.65
"ENSG00000248283"	"pseudogene"	1008	48.91
"ENSG00000248280"	"pseudogene"	356	39.89
"ENSG00000248281"	"pseudogene"	992	50.60
"ENSG00000206819"	"snRNA"	107	42.06
"ENSG00000206818"	"snRNA"	105	35.24
"ENSG00000206811"	"snoRNA"	133	56.39
"ENSG00000206813"	"misc_RNA"	102	40.20
"ENSG00000206812"	"snRNA"	107	41.12
"ENSG00000206815"	"snRNA"	108	36.11
"ENSG00000206814"	"misc_RNA"	111	43.24
"ENSG00000206817"	"misc_RNA"	100	42.00
"ENSG00000206816"	"misc_RNA"	102	42.16
"ENSG00000241369"	"lincRNA"	726	39.17
"ENSG00000241362"	"pseudogene"	307	44.63
"ENSG00000250404"	"processed_transcript"	2843	51.99
"ENSG00000241360"	"protein_coding"	1790	61.55
"ENSG00000241361"	"pseudogene"	1220	43.11
"ENSG00000241367"	"pseudogene"	776	46.78
"ENSG00000200303"	"snRNA"	104	37.50
"ENSG00000200301"	"rRNA"	118	46.61
"ENSG00000200305"	"misc_RNA"	105	41.90
"ENSG00000200304"	"snRNA"	112	40.18
"ENSG00000200309"	"misc_RNA"	95	37.89
"ENSG00000177119"	"protein_coding"	3577	43.65
"ENSG00000080224"	"protein_coding"	1597	44.58
"ENSG00000237024"	"pseudogene"	484	45.25
"ENSG00000237025"	"pseudogene"	707	41.30
"ENSG00000237026"	"pseudogene"	312	56.73
"ENSG00000237027"	"antisense"	626	47.48
"ENSG00000237020"	"IG_D_gene"	17	47.06
"ENSG00000237021"	"lincRNA"	2081	34.36
"ENSG00000237023"	"pseudogene"	1766	36.41
"ENSG00000133169"	"protein_coding"	864	50.81
"ENSG00000141543"	"protein_coding"	931	52.37
"ENSG00000141542"	"protein_coding"	1283	58.36
"ENSG00000141540"	"protein_coding"	1415	59.45
"ENSG00000244194"	"misc_RNA"	301	50.83
"ENSG00000223018"	"miRNA"	145	30.34
"ENSG00000223019"	"rRNA"	107	49.53
"ENSG00000005893"	"protein_coding"	2018	40.16
"ENSG00000223010"	"miRNA"	80	71.25
"ENSG00000223012"	"misc_RNA"	289	48.79
"ENSG00000223013"	"rRNA"	104	47.12
"ENSG00000223015"	"snRNA"	103	35.92
"ENSG00000147873"	"protein_coding"	700	46.29
"ENSG00000147872"	"protein_coding"	1102	48.12
"ENSG00000242960"	"pseudogene"	550	49.82
"ENSG00000147874"	"protein_coding"	3657	38.32
"ENSG00000149485"	"protein_coding"	1134	56.07
"ENSG00000252446"	"snRNA"	110	40.00
"ENSG00000249159"	"lincRNA"	440	52.50
"ENSG00000249158"	"protein_coding"	5257	48.32
"ENSG00000141096"	"protein_coding"	1243	65.04
"ENSG00000239144"	"snoRNA"	112	33.04
"ENSG00000141098"	"protein_coding"	2126	60.40
"ENSG00000249157"	"pseudogene"	300	40.33
"ENSG00000249156"	"pseudogene"	594	54.04
"ENSG00000249150"	"lincRNA"	553	43.22
"ENSG00000249153"	"lincRNA"	698	27.08
"ENSG00000249152"	"lincRNA"	616	34.74
"ENSG00000180812"	"pseudogene"	1234	39.87
"ENSG00000236648"	"lincRNA"	610	51.97
"ENSG00000180817"	"protein_coding"	683	42.77
"ENSG00000180815"	"protein_coding"	3774	49.33
"ENSG00000122254"	"protein_coding"	2290	57.38
"ENSG00000061918"	"protein_coding"	2452	43.82
"ENSG00000236641"	"lincRNA"	482	47.93
"ENSG00000122257"	"protein_coding"	2498	43.81
"ENSG00000236647"	"pseudogene"	672	59.67
"ENSG00000236646"	"pseudogene"	270	48.52
"ENSG00000067365"	"protein_coding"	754	55.29
"ENSG00000145730"	"protein_coding"	1563	50.27
"ENSG00000067369"	"protein_coding"	2739	48.55
"ENSG00000145734"	"protein_coding"	6219	38.08
"ENSG00000145736"	"protein_coding"	1406	39.73
"ENSG00000174495"	"pseudogene"	483	47.36
"ENSG00000266180"	"miRNA"	67	40.30
"ENSG00000174498"	"protein_coding"	1683	59.33
"ENSG00000116675"	"protein_coding"	2688	44.43
"ENSG00000116670"	"protein_coding"	1047	61.47
"ENSG00000079102"	"protein_coding"	1135	49.70
"ENSG00000116679"	"protein_coding"	2108	39.20
"ENSG00000116678"	"protein_coding"	3318	37.57
"ENSG00000224547"	"pseudogene"	752	45.21
"ENSG00000224546"	"pseudogene"	1835	49.59
"ENSG00000224545"	"pseudogene"	367	48.50
"ENSG00000224543"	"protein_coding"	934	42.61
"ENSG00000224541"	"antisense"	392	41.84
"ENSG00000224540"	"pseudogene"	1224	52.70
"ENSG00000224549"	"lincRNA"	447	38.48
"ENSG00000224548"	"pseudogene"	314	46.82
"ENSG00000264160"	"miRNA"	75	44.00
"ENSG00000264163"	"miRNA"	148	58.78
"ENSG00000133835"	"protein_coding"	1217	43.10
"ENSG00000264164"	"pseudogene"	326	41.88
"ENSG00000264167"	"sense_intronic"	466	54.08
"ENSG00000264166"	"misc_RNA"	269	55.76
"ENSG00000264169"	"misc_RNA"	298	55.70
"ENSG00000264168"	"pseudogene"	948	40.27
"ENSG00000136986"	"protein_coding"	2138	46.71
"ENSG00000229909"	"pseudogene"	694	37.46
"ENSG00000107862"	"protein_coding"	3453	52.02
"ENSG00000107863"	"protein_coding"	2005	42.97
"ENSG00000103363"	"protein_coding"	674	60.39
"ENSG00000103365"	"protein_coding"	1016	53.94
"ENSG00000107864"	"protein_coding"	5490	43.65
"ENSG00000229807"	"lincRNA"	3058	39.96
"ENSG00000224091"	"antisense"	522	45.21
"ENSG00000224090"	"lincRNA"	1992	53.46
"ENSG00000224093"	"antisense"	550	53.80
"ENSG00000224092"	"pseudogene"	764	48.04
"ENSG00000224095"	"lincRNA"	437	37.07
"ENSG00000224094"	"pseudogene"	402	42.29
"ENSG00000224097"	"pseudogene"	1293	48.88
"ENSG00000229905"	"lincRNA"	456	40.13
"ENSG00000224099"	"lincRNA"	989	44.08
"ENSG00000146833"	"protein_coding"	1987	46.42
"ENSG00000146830"	"protein_coding"	1780	64.54
"ENSG00000253752"	"IG_V_pseudogene"	384	51.56
"ENSG00000146834"	"protein_coding"	1558	60.25
"ENSG00000224832"	"lincRNA"	2007	37.12
"ENSG00000229907"	"pseudogene"	222	47.30
"ENSG00000144063"	"protein_coding"	1570	55.33
"ENSG00000144061"	"protein_coding"	2653	41.75
"ENSG00000132535"	"protein_coding"	1833	58.09
"ENSG00000253754"	"antisense"	447	39.82
"ENSG00000221357"	"miRNA"	84	35.71
"ENSG00000253755"	"IG_C_pseudogene"	1178	60.27
"ENSG00000234645"	"pseudogene"	732	42.80
"ENSG00000234644"	"pseudogene"	351	49.57
"ENSG00000234647"	"lincRNA"	2246	53.12
"ENSG00000234646"	"processed_transcript"	398	50.14
"ENSG00000242539"	"antisense"	568	41.02
"ENSG00000234640"	"lincRNA"	346	54.91
"ENSG00000234643"	"pseudogene"	896	51.34
"ENSG00000132530"	"protein_coding"	1110	51.55
"ENSG00000234648"	"pseudogene"	158	59.49
"ENSG00000230946"	"pseudogene"	983	44.76
"ENSG00000230947"	"sense_intronic"	364	46.98
"ENSG00000230944"	"lincRNA"	585	45.30
"ENSG00000230945"	"lincRNA"	446	44.84
"ENSG00000230942"	"pseudogene"	263	45.25
"ENSG00000230943"	"lincRNA"	396	40.53
"ENSG00000230940"	"antisense"	433	48.73
"ENSG00000230941"	"lincRNA"	398	38.69
"ENSG00000230948"	"pseudogene"	1015	58.82
"ENSG00000184789"	"pseudogene"	931	44.15
"ENSG00000181029"	"protein_coding"	783	70.05
"ENSG00000196834"	"protein_coding"	7020	49.30
"ENSG00000181026"	"protein_coding"	1814	60.39
"ENSG00000181027"	"protein_coding"	3448	61.28
"ENSG00000227339"	"pseudogene"	2786	49.10
"ENSG00000065320"	"protein_coding"	4631	60.79
"ENSG00000168101"	"protein_coding"	1676	63.20
"ENSG00000143158"	"protein_coding"	1206	49.71
"ENSG00000189233"	"protein_coding"	2708	47.27
"ENSG00000065325"	"protein_coding"	1928	51.34
"ENSG00000065328"	"protein_coding"	2411	46.17
"ENSG00000171970"	"protein_coding"	1496	45.84
"ENSG00000265690"	"protein_coding"	893	67.85
"ENSG00000265691"	"miRNA"	86	41.86
"ENSG00000265692"	"lincRNA"	1810	53.59
"ENSG00000265693"	"pseudogene"	130	46.92
"ENSG00000265694"	"miRNA"	76	34.21
"ENSG00000265695"	"miRNA"	67	47.76
"ENSG00000265696"	"miRNA"	64	56.25
"ENSG00000265697"	"antisense"	563	45.65
"ENSG00000265698"	"pseudogene"	337	40.65
"ENSG00000265699"	"miRNA"	67	31.34
"ENSG00000251459"	"lincRNA"	783	46.74
"ENSG00000248814"	"pseudogene"	205	55.61
"ENSG00000227213"	"antisense"	433	57.04
"ENSG00000064989"	"protein_coding"	1783	38.19
"ENSG00000264598"	"sense_intronic"	427	43.09
"ENSG00000100564"	"protein_coding"	770	51.16
"ENSG00000227210"	"antisense"	541	54.53
"ENSG00000143153"	"protein_coding"	1807	43.79
"ENSG00000181790"	"protein_coding"	4283	67.81
"ENSG00000181791"	"pseudogene"	1047	67.53
"ENSG00000102096"	"protein_coding"	1226	54.25
"ENSG00000227330"	"lincRNA"	478	41.42
"ENSG00000102098"	"protein_coding"	2239	39.25
"ENSG00000138675"	"protein_coding"	2775	44.61
"ENSG00000181798"	"lincRNA"	1282	47.11
"ENSG00000138674"	"protein_coding"	1921	45.80
"ENSG00000265349"	"antisense"	212	51.89
"ENSG00000265342"	"antisense"	372	48.12
"ENSG00000227335"	"IG_J_pseudogene"	55	70.91
"ENSG00000265340"	"pseudogene"	945	40.85
"ENSG00000265341"	"miRNA"	103	27.18
"ENSG00000265347"	"miRNA"	65	67.69
"ENSG00000265344"	"miRNA"	98	56.12
"ENSG00000265345"	"miRNA"	113	39.82
"ENSG00000220739"	"pseudogene"	392	37.76
"ENSG00000131153"	"protein_coding"	2673	49.12
"ENSG00000131152"	"protein_coding"	953	61.49
"ENSG00000049656"	"protein_coding"	1044	53.78
"ENSG00000138678"	"protein_coding"	1134	49.22
"ENSG00000220730"	"pseudogene"	340	44.41
"ENSG00000197629"	"protein_coding"	4442	46.92
"ENSG00000220733"	"pseudogene"	186	40.32
"ENSG00000220734"	"pseudogene"	628	45.38
"ENSG00000260482"	"lincRNA"	2463	47.62
"ENSG00000221066"	"snoRNA"	94	37.23
"ENSG00000221065"	"miRNA"	82	73.17
"ENSG00000221063"	"miRNA"	92	57.61
"ENSG00000260487"	"antisense"	528	50.95
"ENSG00000260484"	"lincRNA"	2172	42.86
"ENSG00000221060"	"snoRNA"	129	44.96
"ENSG00000102543"	"protein_coding"	1109	46.92
"ENSG00000260488"	"antisense"	601	58.57
"ENSG00000102547"	"protein_coding"	1544	41.98
"ENSG00000221069"	"miRNA"	91	29.67
"ENSG00000143921"	"protein_coding"	2665	55.68
"ENSG00000143924"	"protein_coding"	2553	42.82
"ENSG00000255053"	"pseudogene"	948	40.93
"ENSG00000180777"	"protein_coding"	2418	39.67
"ENSG00000180776"	"protein_coding"	1015	42.59
"ENSG00000180773"	"protein_coding"	2063	38.75
"ENSG00000180772"	"protein_coding"	2882	36.57
"ENSG00000180771"	"pseudogene"	2401	53.39
"ENSG00000142039"	"protein_coding"	3319	59.87
"ENSG00000111229"	"protein_coding"	589	39.93
"ENSG00000135720"	"protein_coding"	1118	47.08
"ENSG00000135722"	"protein_coding"	848	66.44
"ENSG00000147003"	"protein_coding"	1578	36.95
"ENSG00000263599"	"misc_RNA"	285	52.63
"ENSG00000188542"	"protein_coding"	1354	51.20
"ENSG00000263595"	"misc_RNA"	292	53.42
"ENSG00000263594"	"lincRNA"	288	42.36
"ENSG00000263597"	"miRNA"	110	51.82
"ENSG00000263596"	"miRNA"	122	25.41
"ENSG00000263591"	"misc_RNA"	261	51.72
"ENSG00000188549"	"protein_coding"	2427	61.09
"ENSG00000263593"	"miRNA"	73	45.21
"ENSG00000263592"	"miRNA"	95	24.21
"ENSG00000241131"	"lincRNA"	391	39.39
"ENSG00000132716"	"protein_coding"	1557	51.78
"ENSG00000245105"	"lincRNA"	2187	44.67
"ENSG00000132718"	"protein_coding"	3281	48.08
"ENSG00000225521"	"antisense"	559	54.38
"ENSG00000254236"	"antisense"	414	55.07
"ENSG00000213967"	"protein_coding"	1455	41.19
"ENSG00000213965"	"protein_coding"	2966	49.06
"ENSG00000213964"	"pseudogene"	327	52.91
"ENSG00000213963"	"processed_transcript"	2589	43.73
"ENSG00000213962"	"pseudogene"	1498	40.19
"ENSG00000222333"	"miRNA"	80	35.00
"ENSG00000062582"	"protein_coding"	859	57.45
"ENSG00000254237"	"lincRNA"	562	47.87
"ENSG00000114767"	"protein_coding"	1578	60.90
"ENSG00000218803"	"pseudogene"	654	51.38
"ENSG00000220418"	"pseudogene"	1332	58.71
"ENSG00000259507"	"pseudogene"	573	41.88
"ENSG00000115415"	"protein_coding"	1798	47.20
"ENSG00000259505"	"pseudogene"	1203	34.41
"ENSG00000259504"	"lincRNA"	491	48.32
"ENSG00000259503"	"lincRNA"	527	52.75
"ENSG00000090020"	"protein_coding"	2066	57.13
"ENSG00000259501"	"pseudogene"	699	65.81
"ENSG00000259500"	"pseudogene"	1559	55.68
"ENSG00000115419"	"protein_coding"	1283	38.82
"ENSG00000259509"	"pseudogene"	432	45.83
"ENSG00000259508"	"processed_transcript"	565	50.49
"ENSG00000264903"	"miRNA"	88	35.23
"ENSG00000264902"	"miRNA"	82	37.80
"ENSG00000264901"	"miRNA"	92	54.35
"ENSG00000264900"	"miRNA"	75	26.67
"ENSG00000264907"	"pseudogene"	545	41.83
"ENSG00000264906"	"miRNA"	84	41.67
"ENSG00000214465"	"pseudogene"	1216	48.44
"ENSG00000250622"	"pseudogene"	326	42.94
"ENSG00000105011"	"protein_coding"	1412	57.29
"ENSG00000261005"	"lincRNA"	2296	57.93
"ENSG00000264908"	"miRNA"	80	77.50
"ENSG00000250629"	"antisense"	565	44.60
"ENSG00000258452"	"pseudogene"	273	49.08
"ENSG00000258453"	"pseudogene"	976	43.55
"ENSG00000258450"	"sense_intronic"	401	51.62
"ENSG00000025156"	"protein_coding"	1946	41.19
"ENSG00000070423"	"protein_coding"	1646	64.76
"ENSG00000258457"	"antisense"	804	51.62
"ENSG00000258454"	"processed_transcript"	520	47.50
"ENSG00000258455"	"antisense"	363	41.32
"ENSG00000254235"	"lincRNA"	1305	51.81
"ENSG00000258458"	"processed_transcript"	536	44.86
"ENSG00000258459"	"antisense"	748	43.98
"ENSG00000235899"	"antisense"	566	41.17
"ENSG00000235897"	"antisense"	871	50.92
"ENSG00000235896"	"IG_V_gene"	382	54.45
"ENSG00000235895"	"pseudogene"	269	43.87
"ENSG00000235893"	"pseudogene"	1234	58.12
"ENSG00000235892"	"pseudogene"	1677	53.49
"ENSG00000146350"	"protein_coding"	2166	38.38
"ENSG00000196169"	"protein_coding"	1963	60.15
"ENSG00000164548"	"protein_coding"	996	40.97
"ENSG00000227039"	"lincRNA"	1310	60.60
"ENSG00000227036"	"lincRNA"	752	51.65
"ENSG00000235901"	"pseudogene"	2109	35.89
"ENSG00000227034"	"pseudogene"	257	43.97
"ENSG00000148136"	"protein_coding"	957	41.38
"ENSG00000138411"	"protein_coding"	2600	50.05
"ENSG00000227033"	"antisense"	391	42.20
"ENSG00000138413"	"protein_coding"	1393	45.26
"ENSG00000222000"	"protein_coding"	562	50.98
"ENSG00000222001"	"protein_coding"	588	51.05
"ENSG00000222004"	"protein_coding"	1956	47.19
"ENSG00000222005"	"protein_coding"	1148	51.63
"ENSG00000242457"	"pseudogene"	1264	43.28
"ENSG00000222007"	"protein_coding"	364	42.61
"ENSG00000116990"	"protein_coding"	1870	59.81
"ENSG00000224785"	"pseudogene"	1803	37.49
"ENSG00000235902"	"antisense"	618	53.40
"ENSG00000116996"	"protein_coding"	1799	52.20
"ENSG00000186328"	"pseudogene"	328	53.05
"ENSG00000186329"	"protein_coding"	975	46.10
"ENSG00000186326"	"protein_coding"	2894	61.78
"ENSG00000186322"	"pseudogene"	1137	56.26
"ENSG00000238270"	"lincRNA"	414	40.34
"ENSG00000238271"	"pseudogene"	562	50.36
"ENSG00000238272"	"antisense"	677	47.86
"ENSG00000184879"	"pseudogene"	202	57.18
"ENSG00000235601"	"antisense"	876	59.72
"ENSG00000203737"	"protein_coding"	1472	42.05
"ENSG00000181800"	"protein_coding"	2468	46.31
"ENSG00000181163"	"protein_coding"	818	42.29
"ENSG00000181804"	"protein_coding"	1215	41.77
"ENSG00000238275"	"pseudogene"	448	53.35
"ENSG00000251136"	"lincRNA"	1108	43.80
"ENSG00000209082"	"Mt_tRNA"	75	38.67
"ENSG00000202324"	"rRNA"	123	49.59
"ENSG00000100796"	"protein_coding"	2084	44.20
"ENSG00000235604"	"protein_coding"	469	49.04
"ENSG00000238277"	"lincRNA"	660	43.33
"ENSG00000248503"	"pseudogene"	337	48.96
"ENSG00000256502"	"pseudogene"	145	46.90
"ENSG00000256500"	"protein_coding"	1337	47.29
"ENSG00000256504"	"lincRNA"	427	43.33
"ENSG00000248505"	"lincRNA"	1038	45.57
"ENSG00000256508"	"antisense"	854	62.50
"ENSG00000113812"	"protein_coding"	1432	47.22
"ENSG00000254574"	"antisense"	374	52.94
"ENSG00000113810"	"protein_coding"	1644	38.61
